Date,Gold,Silver,Oil,SP500,MSCI_Europe,Euro_STOXX_50,DAX,USDPLN,EURUSD,USDGBP
2011-05-18,1495.5999755859375,35.09400177001953,100.0999984741211,1340.6800537109375,,2867.300048828125,7303.52978515625,2.7495999336242676,1.4268999099731445,1.6253026723861694
2011-05-19,1492.199951171875,34.926998138427734,98.44000244140625,1343.5999755859375,,2890.60009765625,7358.22998046875,2.746799945831299,1.4255167245864868,1.6165013313293457
2011-05-20,1508.800048828125,35.082000732421875,99.48999786376953,1333.27001953125,,2853.97998046875,7266.81982421875,2.7360000610351562,1.4316186904907227,1.6231921911239624
2011-05-23,1515.300048828125,34.9010009765625,97.69999694824219,1317.3699951171875,,2794.260009765625,7121.52001953125,2.7751998901367188,1.4105764627456665,1.6214288473129272
2011-05-24,1523.199951171875,36.12099838256836,99.58999633789062,1316.280029296875,,2801.27001953125,7150.66015625,2.8101000785827637,1.403666377067566,1.6108766794204712
2011-05-25,1526.5999755859375,37.63999938964844,101.31999969482422,1320.469970703125,,2816.840087890625,7170.93994140625,2.80049991607666,1.4099003076553345,1.6184896230697632
2011-05-26,1522.800048828125,37.32600021362305,100.2300033569336,1325.68994140625,,2799.820068359375,7114.08984375,2.8120999336242676,1.4084903001785278,1.6279751062393188
2011-05-27,1536.300048828125,37.856998443603516,100.58999633789062,1331.0999755859375,,2819.39990234375,7163.47021484375,2.8171000480651855,1.4135074615478516,1.6385383605957031
2011-05-30,1536.300048828125,37.856998443603516,100.58999633789062,1331.0999755859375,,2819.39990234375,7160.2998046875,2.775700092315674,1.4297356605529785,1.6511186361312866
2011-05-31,1535.9000244140625,38.303001403808594,102.69999694824219,1345.199951171875,,2819.39990234375,7293.68994140625,2.775899887084961,1.4322338104248047,1.6487774848937988
2011-06-01,1542.4000244140625,37.68899917602539,100.29000091552734,1314.550048828125,,2827.659912109375,7217.43017578125,2.7365000247955322,1.4427932500839233,1.646497130393982
2011-06-02,1532.0,36.20000076293945,100.4000015258789,1312.93994140625,,2827.659912109375,7074.1201171875,2.7611000537872314,1.434493899345398,1.633426547050476
2011-06-03,1541.699951171875,36.1870002746582,100.22000122070312,1300.1600341796875,,2789.110107421875,7109.02978515625,2.724400043487549,1.4486035108566284,1.6361523866653442
2011-06-06,1546.5,36.7760009765625,99.01000213623047,1286.1700439453125,,2765.330078125,7084.56982421875,2.6958000659942627,1.465502142906189,1.6454133987426758
2011-06-07,1543.300048828125,37.040000915527344,99.08999633789062,1284.93994140625,,2774.5,7103.25,2.712899923324585,1.458299994468689,1.6357241868972778
2011-06-08,1538.0999755859375,36.61899948120117,100.73999786376953,1279.56005859375,,2752.06005859375,7060.22998046875,2.6791999340057373,1.4686013460159302,1.6443040370941162
2011-06-09,1542.0999755859375,37.42300033569336,101.93000030517578,1289.0,,2778.1201171875,7159.66015625,2.703000068664551,1.4601950645446777,1.6407967805862427
2011-06-10,1528.5999755859375,36.32600021362305,99.29000091552734,1270.97998046875,,2732.5400390625,7069.89990234375,2.7134499549865723,1.451568365097046,1.6365541219711304
2011-06-13,1515.0,34.736000061035156,97.30000305175781,1271.8299560546875,,2732.5400390625,7085.14013671875,2.7409000396728516,1.4332603216171265,1.6226128339767456
2011-06-14,1523.800048828125,35.40999984741211,99.37000274658203,1287.8699951171875,,2779.93994140625,7204.7900390625,2.7255001068115234,1.4416908025741577,1.6374115943908691
2011-06-15,1525.5999755859375,35.40599822998047,94.80999755859375,1265.4200439453125,,2731.5,7115.080078125,2.7174999713897705,1.4450031518936157,1.6377333402633667
2011-06-16,1529.300048828125,35.553001403808594,94.94999694824219,1267.6400146484375,,2730.6201171875,7110.2001953125,2.7799999713897705,1.4181982278823853,1.6195906400680542
2011-06-17,1538.5999755859375,35.73899841308594,93.01000213623047,1271.5,,2770.1201171875,7164.0498046875,2.803999900817871,1.419909954071045,1.6161093711853027
2011-06-20,1541.5,36.064998626708984,93.26000213623047,1278.3599853515625,,2748.010009765625,7150.2099609375,2.78439998626709,1.4285101890563965,1.6178088188171387
2011-06-21,1546.0,36.37300109863281,93.4000015258789,1295.52001953125,,2801.989990234375,7285.509765625,2.7817399501800537,1.4325416088104248,1.6206929683685303
2011-06-22,1552.9000244140625,36.73400115966797,95.41000366210938,1287.1400146484375,,2795.070068359375,7278.18994140625,2.7652599811553955,1.4381660223007202,1.6225336790084839
