Date,Gold,Silver,Oil,SP500,Euro_STOXX_50,DAX,USDPLN,EURUSD,USDGBP
2017-09-21,1290.5999755859375,16.937000274658203,50.54999923706055,2500.60009765625,4202.241683530476,14958.899509275914,3.602499961853028,1.1872113943099976,1.3489633798599243
2017-09-22,1293.300048828125,16.902999877929688,50.65999984741211,2502.219970703125,4230.429896787973,15042.286267509917,3.5790600776672363,1.194557547569275,1.3579760789871216
2017-09-25,1306.800048828125,17.05900001525879,52.220001220703125,2496.659912109375,4219.615744498442,15022.07746646949,3.5789999961853027,1.1927196979522705,1.3507307767868042
2017-09-26,1297.0,16.804000854492188,51.880001068115234,2496.840087890625,4192.606932711904,14944.279596189153,3.6031999588012695,1.185564637184143,1.347781538963318
2017-09-27,1283.4000244140625,16.74799919128418,52.13999938964844,2507.0400390625,4190.144295608858,14918.09846754698,3.6353600025177,1.1786059141159058,1.3448090553283691
2017-09-28,1285.5,16.773000717163086,51.560001373291016,2510.06005859375,4187.147983700823,14927.504705938278,3.6798501014709473,1.1749638319015503,1.3398897647857666
2017-09-29,1281.5,16.60700035095215,51.66999816894531,2519.360107421875,4235.36412922875,15114.648309624288,3.6626598834991455,1.178175449371338,1.343021035194397
2017-10-02,1272.699951171875,16.584999084472656,50.58000183105469,2529.1201171875,4253.8225087171895,15234.612344221216,3.6651899814605713,1.1807351112365725,1.3394052982330322
2017-10-03,1271.5,16.58099937438965,50.41999816894531,2534.580078125,4230.885489080392,15139.690604695817,3.672060012817383,1.173378348350525,1.3275628089904783
2017-10-04,1273.699951171875,16.562999725341797,49.97999954223633,2537.739990234375,4223.145168677001,15237.20711584901,3.67153000831604,1.17475688457489,1.3241175413131714
2017-10-05,1269.9000244140625,16.582000732421875,50.790000915527344,2552.070068359375,4248.524563331739,15246.843133919756,3.655960083007813,1.175723671913147,1.323276400566101
2017-10-06,1271.5999755859375,16.733999252319336,49.290000915527344,2549.330078125,4220.332737120712,15174.444262036239,3.673239946365357,1.1712344884872437,1.3112690448760986
2017-10-09,1281.800048828125,16.916000366210938,49.58000183105469,2544.72998046875,4239.61673694849,15237.49183809408,3.670700073242188,1.1742464303970337,1.3084039688110352
2017-10-10,1290.5999755859375,17.155000686645508,50.91999816894531,2550.639892578125,4225.5686247301055,15204.539281219244,3.6616599559783936,1.1741636991500854,1.314405918121338
2017-10-11,1285.800048828125,17.08099937438965,51.29999923706055,2555.239990234375,4262.089293373487,15324.707522635348,3.6342599391937256,1.1814883947372437,1.3211086988449097
2017-10-12,1293.300048828125,17.211000442504883,50.59999847412109,2550.929931640625,4278.151030801352,15404.838701135359,3.5973598957061768,1.1865493059158323,1.32397723197937
2017-10-13,1301.5,17.354999542236328,51.45000076293945,2553.169921875,4264.831435058179,15371.720554688363,3.6076600551605225,1.1831799745559692,1.326435923576355
2017-10-16,1299.9000244140625,17.315000534057617,51.869998931884766,2557.639892578125,4260.464385942381,15362.632655777154,3.5999999046325684,1.181404709815979,1.3288860321044922
2017-10-17,1283.0,16.98699951171875,51.880001068115234,2559.360107421875,4255.198238702025,15327.073038487695,3.588870048522949,1.1794538497924805,1.3252933025360107
2017-10-18,1279.9000244140625,16.94300079345703,52.040000915527344,2561.260009765625,4261.018494182266,15354.134989494458,3.597899913787842,1.1771907806396484,1.319487452507019
2017-10-19,1286.9000244140625,17.201000213623047,51.290000915527344,2562.10009765625,4248.737985827028,15322.127341143783,3.5896599292755127,1.179523468017578,1.321300745010376
2017-10-20,1277.4000244140625,17.02199935913086,51.470001220703125,2575.2099609375,4271.332327974291,15392.146676194738,3.5721099376678467,1.184805989265442,1.3150626420974731
2017-10-23,1277.699951171875,17.02400016784668,51.900001525878906,2564.97998046875,4241.737370157265,15283.427107411553,3.600069999694824,1.175364375114441,1.3189828395843506
2017-10-24,1275.0,16.906999588012695,52.470001220703125,2569.1298828125,4245.872650769132,15302.435335431132,3.596400022506714,1.1759172677993774,1.3206549882888794
2017-10-25,1275.4000244140625,16.868000030517578,52.18000030517578,2557.14990234375,4223.210120971198,15231.959556270856,3.610599994659424,1.1759034395217896,1.3131976127624512
2017-10-26,1266.300048828125,16.763999938964844,52.63999938964844,2560.39990234375,4299.443218305358,15524.52258984046,3.589099884033203,1.182075023651123,1.327351450920105
2017-10-27,1268.5,16.70199966430664,53.900001525878906,2581.070068359375,4250.189224693226,15381.574148231652,3.655100107192993,1.163724422454834,1.3130252361297607
2017-10-30,1274.0999755859375,16.802000045776367,54.150001525878906,2572.830078125,4249.7997726068415,15352.338212546889,3.658260107040405,1.160456299781799,1.313404560089111
2017-10-31,1267.0,16.645000457763672,54.380001068115234,2575.260009765625,4281.144866574438,15416.025744248178,3.646960020065308,1.1652703285217283,1.3212482929229736
2017-11-01,1274.0999755859375,17.131999969482422,54.29999923706055,2579.360107421875,4308.118668876705,15689.678027648013,3.637900114059448,1.165175199508667,1.3292216062545776
2017-11-02,1274.9000244140625,17.0939998626709,54.540000915527344,2579.85009765625,4289.60169137863,15630.078604970127,3.6398000717163086,1.1628718376159668,1.3255391120910645
2017-11-03,1266.5,16.79400062561035,55.63999938964844,2587.840087890625,4303.160200422513,15718.78720254742,3.631799936294556,1.1661807298660278,1.30532968044281
2017-11-06,1279.4000244140625,17.19499969482422,57.34999847412109,2591.1298828125,4277.039670882892,15643.920647455263,3.6540000438690186,1.1614941358566284,1.30804443359375
2017-11-07,1273.699951171875,16.905000686645508,57.20000076293945,2590.639892578125,4248.801187656122,15536.876046018679,3.649149894714356,1.1612648963928225,1.3175057172775269
2017-11-08,1281.5999755859375,17.106000900268555,56.810001373291016,2594.3798828125,4240.234980848269,15525.029678112594,3.656709909439087,1.1601063013076782,1.317210674285889
2017-11-09,1285.5999755859375,16.94300079345703,57.16999816894531,2584.6201171875,4189.377191662788,15287.671803903999,3.6530098915100098,1.15968918800354,1.3113033771514893
2017-11-10,1272.4000244140625,16.8439998626709,56.7400016784668,2582.300048828125,4185.604413916008,15289.389130531345,3.632060050964356,1.164686679840088,1.3144404888153076
2017-11-13,1277.300048828125,17.023000717163086,56.7599983215332,2584.840087890625,4168.2934791822345,15246.248169450326,3.623300075531006,1.166112780570984,1.312026023864746
2017-11-14,1281.5,17.052000045776367,55.70000076293945,2578.8701171875,4148.494565407047,15203.47225960251,3.630300045013428,1.1664936542510986,1.312335968017578
2017-11-15,1276.5,16.950000762939453,55.33000183105469,2564.6201171875,4181.421313869767,15302.864025641233,3.6026999950408936,1.1792869567871094,1.3157894611358645
2017-11-16,1277.4000244140625,17.055999755859375,55.13999938964844,2585.639892578125,4203.922201137058,15386.416045870632,3.6026999950408936,1.1792869567871094,1.3157894611358645
2017-11-17,1295.800048828125,17.357999801635742,56.54999923706055,2578.85009765625,4178.004445828964,15303.305538082499,3.596400022506714,1.177745342254639,1.3200448751449585
2017-11-20,1274.5999755859375,16.82699966430664,56.09000015258789,2582.139892578125,4178.195202587085,15320.233436634298,3.605799913406372,1.1731857061386108,1.3202714920043943
2017-11-21,1281.0999755859375,16.948999404907227,56.83000183105469,2599.030029296875,4202.559631100738,15460.302837469146,3.6040000915527344,1.174122333526611,1.3245033025741575
2017-11-22,1291.5999755859375,17.10099983215332,58.02000045776367,2597.080078125,4181.563219247619,15276.048507762607,3.592459917068481,1.173722743988037,1.3245558738708496
2017-11-23,1291.5999755859375,17.10099983215332,58.02000045776367,2597.080078125,4220.30950955447,15369.269190022023,3.565500020980835,1.1814744472503662,1.3316820859909058
2017-11-24,1286.699951171875,16.981000900268555,58.95000076293945,2602.419921875,4245.1755364948185,15481.081337303855,3.550679922103882,1.1853959560394287,1.330672025680542
2017-11-27,1293.800048828125,17.009000778198242,58.11000061035156,2601.419921875,4250.623237207357,15504.66965272848,3.528899908065796,1.1926485300064087,1.3324450254440308
2017-11-28,1294.699951171875,16.81100082397461,57.9900016784668,2627.0400390625,4266.110306549671,15547.244962323803,3.535599946975708,1.1904903650283811,1.3322319984436035
2017-11-29,1282.0999755859375,16.457000732421875,57.29999923706055,2626.070068359375,4253.346764790564,15475.78194585105,3.546600103378296,1.184805989265442,1.3365410566329956
2017-11-30,1273.199951171875,16.381999969482422,57.400001525878906,2647.580078125,4231.078315772931,15436.012023085728,3.5448999404907227,1.18519926071167,1.3417235612869265
2017-12-01,1278.800048828125,16.297000885009766,58.36000061035156,2642.219970703125,4197.165759319323,15302.917231031694,3.5316998958587646,1.1898245811462402,1.3529969453811646
2017-12-04,1274.300048828125,16.284000396728516,57.470001220703125,2639.43994140625,4241.348247412679,15487.262467519027,3.5464000701904297,1.1859863996505735,1.349400281906128
